CRR_Final_Prices,Empirical_Final_Prices
2112.9782468432954,2077.6194452756054
2932.6220943988765,2282.738543505191
2050.9407303859693,2821.363576774112
3403.8129192616702,2691.6213852028072
2310.578745598357,2029.2869325074391
2050.94073038597,2629.005093627754
2176.8922940999614,2337.1076364279056
2526.658354191201,2567.845470509923
1932.2765260167569,2629.005093627754
2050.9407303859684,2077.6194452756054
3506.772549868174,2821.363576774111
2526.6583541912064,2449.7614696732285
2380.4698764498303,2449.7614696732276
3021.328993018107,2567.8454705099207
2846.519650269988,1982.0787987952165
3722.1290834341503,2282.738543505193
2932.62209439888,2508.1086287739104
3206.8736582183756,2229.63426107694
2846.5196502699782,2229.6342610769384
2050.94073038597,2077.6194452756044
2932.6220943988815,2691.621385202808
2050.9407303859666,2229.634261076939
4585.4804113559585,2567.845470509923
2050.9407303859666,2337.107636427905
1767.0284010606276,2957.359633159489
2762.945193261949,2957.359633159486
3112.719126506797,2282.7385435051897
2762.945193261953,2127.103116981947
1990.72464936175,2337.1076364279043
2681.8245011044432,2127.1031169819453
2526.658354191206,3027.796504328375
2452.475096760915,2449.7614696732285
2380.4698764498235,2508.1086287739076
1875.5444527159768,2282.7385435051915
2050.9407303859666,2282.7385435051915
2380.4698764498257,2392.7716644511115
2112.9782468432923,2449.7614696732317
2526.6583541912087,2957.359633159487
2603.085530709702,2177.7653653381694
2242.7396340646014,2957.359633159489
2526.658354191208,1846.942131422223
3206.8736582183674,2755.7290394154297
1820.478045844236,2449.7614696732303
3722.12908343415,2337.1076364279047
2762.945193261948,2449.7614696732294
2681.8245011044373,1982.0787987952167
2526.658354191208,2392.7716644511133
2603.085530709703,2177.7653653381713
2242.739634064604,2821.363576774112
2846.519650269986,2755.7290394154243
1767.028401060627,2077.6194452756044
1990.7246493617524,2077.6194452756054
2310.5787455983573,2755.7290394154265
2846.519650269985,2691.621385202806
2762.9451932619454,2449.7614696732307
2762.945193261943,2282.7385435051915
2681.824501104445,3099.9110046785213
1875.5444527159782,2957.3596331594886
2380.4698764498266,2337.1076364279043
2762.9451932619395,2629.0050936277516
2242.7396340646037,2229.6342610769393
2932.62209439888,2029.2869325074385
2452.475096760911,2029.2869325074394
2112.978246843297,2629.005093627754
2242.7396340645996,2337.1076364279047
2310.578745598362,2282.7385435051915
2050.940730385969,2282.7385435051888
3112.7191265067877,2957.359633159486
2932.6220943988815,2629.0050936277494
2380.469876449824,2567.845470509921
2380.469876449826,2508.1086287739067
2603.085530709703,2077.6194452756044
2310.5787455983595,2177.7653653381694
3112.719126506794,2567.845470509923
2112.9782468432963,2077.619445275603
2380.469876449825,2755.7290394154293
2310.578745598362,2957.359633159488
2380.469876449826,2888.5613637965616
3021.3289930181063,1935.968887248076
2762.9451932619418,2629.0050936277535
2112.9782468432954,2755.729039415429
2310.57874559836,2077.6194452756035
1932.2765260167582,1890.931649473631
2242.739634064601,2755.729039415429
2526.658354191206,2755.7290394154275
1990.7246493617513,2449.761469673229
2380.4698764498244,2821.3635767741102
1875.5444527159807,2337.107636427905
2242.7396340646023,2392.7716644511142
2380.4698764498244,2508.1086287739095
1820.4780458442333,2755.7290394154243
2762.945193261948,1803.9759595604733
2681.8245011044432,2449.761469673229
3206.8736582183687,2629.0050936277516
3112.7191265067872,2449.7614696732303
2526.658354191201,2127.1031169819453
3403.812919261672,2821.3635767741102
1477.7196001992,2691.621385202807
3021.3289930181063,2629.0050936277544
2242.739634064602,2691.6213852028072
2762.945193261943,2567.845470509921
2681.8245011044373,2449.7614696732285
2603.085530709702,2229.6342610769398
2310.5787455983623,2755.729039415429
2932.622094398881,2229.6342610769384
2846.5196502699823,2449.7614696732294
2452.4750967609184,3487.0802243189537
2380.469876449829,2508.1086287739104
2526.6583541912046,2392.771664451112
2681.8245011044455,1846.9421314222232
2932.62209439888,2392.771664451113
2310.5787455983595,2821.3635767741116
2603.0855307097027,2392.771664451113
2762.9451932619463,1935.9688872480763
2452.4750967609193,2177.7653653381717
2526.6583541912,2337.107636427904
2176.89229409996,2821.3635767741102
2380.4698764498257,2392.771664451114
1932.276526016757,2691.621385202805
2380.4698764498216,2029.2869325074394
2932.6220943988787,2821.3635767741093
2681.824501104446,1935.968887248075
2526.658354191204,2567.8454705099216
2932.622094398876,2337.107636427903
1990.7246493617538,1982.078798795218
2526.658354191201,2508.1086287739085
2681.8245011044432,2449.7614696732303
3303.8762065615647,2691.621385202807
2242.739634064601,2392.771664451113
2932.622094398882,2449.7614696732285
2050.940730385969,2449.7614696732317
2452.4750967609175,2755.729039415425
2112.9782468432945,3173.7430911191836
3021.3289930181063,2755.7290394154275
2176.892294099962,2449.7614696732303
2681.824501104446,3099.9110046785213
1932.2765260167578,2691.621385202806
2846.5196502699832,2282.738543505192
1767.0284010606256,2691.621385202806
2176.8922940999587,2282.73854350519
2380.469876449828,2077.619445275604
2762.945193261949,3173.743091119185
2380.469876449822,2449.7614696732317
1767.0284010606254,2229.6342610769393
3506.772549868172,2629.005093627752
1767.0284010606279,2755.729039415427
3206.87365821837,2755.729039415428
3403.8129192616766,2449.76146967323
1477.7196001991997,2567.8454705099216
2452.475096760915,2077.6194452756035
2603.0855307097027,2337.1076364279043
2112.9782468432936,2629.005093627751
2603.085530709693,1803.9759595604714
3303.8762065615733,2282.738543505193
2176.8922940999596,2337.1076364279047
2452.4750967609148,2337.107636427903
1664.7909174497804,2629.0050936277507
2526.658354191199,2888.5613637965535
2176.892294099962,2337.107636427907
2846.519650269984,2392.771664451112
2242.7396340646014,2392.7716644511133
2310.578745598358,2392.771664451113
2380.4698764498276,2508.1086287739063
2681.824501104448,1982.078798795217
2932.62209439888,2691.621385202804
2762.9451932619477,2755.7290394154265
2762.9451932619486,2177.765365338171
2452.4750967609175,2337.107636427905
2310.5787455983595,2229.63426107694
2603.085530709703,2229.6342610769393
2176.8922940999587,2337.1076364279043
3021.3289930181045,2337.1076364279047
2242.7396340646037,1935.9688872480747
2242.739634064604,2127.1031169819457
2452.475096760913,2127.1031169819453
2310.5787455983605,2567.845470509921
2310.5787455983627,2029.2869325074403
2380.4698764498266,1680.982212115022
2452.4750967609184,2337.1076364279047
1932.276526016759,2508.1086287739104
2762.945193261947,2392.771664451113
1664.790917449779,2337.1076364279043
2176.8922940999623,2755.7290394154306
1990.7246493617529,1680.9822121150219
2526.658354191202,2691.621385202804
2242.739634064607,2567.8454705099216
2452.475096760914,2567.8454705099216
2681.8245011044355,2029.2869325074407
2526.658354191208,2392.7716644511147
2526.658354191206,2392.7716644511156
2452.475096760913,2337.1076364279043
2242.7396340646,1935.9688872480754
2452.475096760918,2449.7614696732303
2380.4698764498303,2177.7653653381713
2846.519650269984,2508.1086287739085
2603.0855307097045,2821.3635767741116
2603.0855307097017,3326.724630941163
